MQ00001,J,内容が変更されていますが、画面を閉じてもよろしいですか？
MQ00002,J,データが選択されていません。
MQ00003,J,対象データが選択されていません
MQ00004,J,選択されているファイル形式が異なっています
MQ00005,J,処理が完了しました。
MQ00006,J,入力された組織コードは既に存在します。
MQ00007,J,選択さたコード種別に紐づくコード値が設定されている為削除できません。
MQ00008,J,類似のお客様が存在します。登録処理を続けますか？
MQ00009,J,対象期間は指定されたR100期間に合わせて入力してください。
MQ00010,J,必須項目が入力されておりません 項目名：　%1
MQ00011,J,審査を完了し、転送しますか？
MQ00012,J,審査を完了し、承認しますか？
MQ00013,J,保留しますか？
MQ00014,J,差戻しますか？
MQ00015,J,管理票番号が登録されていません。
MQ00016,J,入力された %1 が %2 に存在しません。
MQ00017,J,%1 は複数選択できません。
MQ00018,J,起票済みのレポートです。削除しますか。
MQ00019,J,レポートを削除しますか？
MQ00020,J,複数選択不可
MQ00021,J,
MQ00022,J,有効期間整合性エラー
MQ00023,J,ユーザーID、パスワードが間違っています。
MQ00024,J,メールアドレスにパスワードを配信致しました。
MQ00025,J,入力されたパスワードが一致しません。
MQ00026,J,パスワードは %1 桁以上で設定してください
MQ00027,J,入力されたデータは存在しません
MQ00028,J,プロセス定義IDが取得できませんでした。組織：%1 レポート種別：%2 WF権限：%3
MQ00029,J,不具合発生日は修理完了日以前である必要があります。
MQ00030,J,対象データが存在しません
MQ00033,J,ワンタイムパスワードは、初回登録する場合、パスワード変更してください。
MQ00034,J,新しいパスワードと古いパスワードと一致することはできません。
MQ00000,J,処理オプション：バージョンが正しくありません（ &1 ）
MQ00031,J,パスワード有効日数を過ぎました、パスワード変更してください。
MQ00032,J,アカウントロック上限回数超えました、パスワード変更画面でワンタイムパスワード利用してパスワード変更してください。
MQ00000,J,処理オプション：バージョンが正しくありません（ &1 ）
MQ00001,J,画面の内容が変更されていますが、画面を閉じてもよろしいですか？
MQ00002,J,データが選択されていません。
MQ00003,J,対象データが選択されていません
MQ00004,J,選択されているファイル形式が異なっています
MQ00005,J,処理が完了しました。
MQ00006,J,入力された組織コードは既に存在します。
MQ00007,J,選択さたコード種別に紐づくコード値が設定されている為削除できません。
MQ00008,J,類似のお客様が存在します。登録処理を続けますか？
MQ00009,J,対象期間は指定されたR100期間に合わせて入力してください。
MQ00010,J,必須項目が入力されておりません 項目名：　%1
MQ00011,J,審査を完了し、転送しますか？
MQ00012,J,審査を完了し、承認しますか？
MQ00013,J,保留しますか？
MQ00014,J,差戻しますか？
MQ00015,J,管理票番号が登録されていません。
MQ00016,J,入力された %1 が %2 に存在しません。
MQ00017,J,%1 は複数選択できません。
MQ00018,J,起票済みのレポートです。削除しますか。
MQ00019,J,レポートを削除しますか？
MQ00020,J,複数選択不可
MQ00021,J,
MQ00022,J,有効期間整合性エラー
MQ00023,J,ユーザーID、パスワードが間違っています。
MQ00024,J,メールアドレスにパスワードを配信致しました。
MQ00025,J,入力されたパスワードが一致しません。
MQ00026,J, %1 文字以上で入力してください
MQ00027,J,入力されたデータは存在しません
MQ00028,J,プロセス定義IDが取得できませんでした。組織：%1 レポート種別：%2 WF権限：%3
MQ00029,J,不具合発生日は修理完了日以前である必要があります。
MQ00030,J,対象データが存在しません
MQ00031,J,パスワード有効日数を過ぎました、パスワード変更してください。
MQ00032,J,アカウントロック上限回数超えました、パスワード変更画面でワンタイムパスワード利用してパスワード変更してください。
MQ00033,J,ワンタイムパスワードは、初回登録する場合、パスワード変更してください。
MQ00034,J,新しいパスワードと古いパスワードが同じです。
MQ00035,J,本当に削除しますか？
MQ00036,J,%1、%2をいずれか入力してください。
MQ00037,J, %1 文字以下で入力してください。
MQ00038,J,必須項目です。
MQ00039,J,フォーマットが不正です。
MQ00040,J,半角英数字を入力してください。
MQ00041,J,半角英数字またはコンマを入力してください。
MQ00042,J,半角英字を入力してください。
MQ00043,J,半角数字を入力してください。
MQ00044,J,全角文字を入力してください。
MQ00045,J,整数%1桁まで、小数%2桁まで入力してください。
MQ00047,J,エクセルに設定されている機番は機械マスタに存在しません。
MQ00048,J,指定されたファイルが存在しません。
MQ00049,J,変更内容が破棄されますが、検索を実行してもよろしいですか？
MQ00050,J,次フローへの転送取り消します。よろしいですか？
MQ00051,J,ユーザー %1 が実行中です。
MQ00052,J,ダウンロードデータがありません。
MQ00053,J,ダウンロード処理が完了していません。
MQ00054,J,アップロード処理が完了していません。
MQ00055,J,エクセルシート %1 が存在しません。
MQ00056,J,サマリーシートの文書番号 %1 はダウンロードされたデータではありません。
MQ00057,J,工賃シートの文書番号 %1 が存在しません。
MQ00058,J,工賃シートの文書番号 %1 請求書番号 %2 が存在しません。
MQ00059,J,部品情報シートの文書番号 %1 部品番号 %2 が存在しません。
MQ00060,J,現地購入品シートの文書番号 %1 行番号 %2 が存在しません
MQ00062,J,処理が完了しました（エラーあり）。
MQ00063,J,データ登録後にPDFをダウンロードして下さい。
MQ00064,J,未保存の内容は破棄されますが、画面を閉じてもよろしいですか？
MQ00065,J,このユーザーは登録済です。
MQ00066,J,画面の内容が変更されておりますが、保存せず検索しますがよろしいですか？
MQ00067,J,未来の日付が入力されております。現在の日付以前の日付を入力してください。
MQ00068,J,起票しますか？
MQ00069,J,未保存のレコードがあります。一回保存してください。
MQ00070,J,組織が設定されていません。管理者へお問い合わせください。
MQ00071,J,機番/住友No.は、どちらかの入力が必要です。
MQ00072,J,データ登録後にボタンを押して下さい。
